best_epoch,best_test_loss,final_train_loss,final_test_loss,final_accuracy_train,final_accuracy_test,num_epochs,early_stopping,eta,h1,h2,batch_size,dropout_rate,weight_decay,momentum
6,1.8162583708763123,1.6991976432800293,1.8178966492414474,0.42431247,0.3701172,16,True,0.01,64,512,128,0.1,0.0001,0.3
22,1.824198491871357,1.7103739051818847,1.8522855751216412,0.42574996,0.34960938,32,True,0.001,64,512,128,0.1,0.0001,0.3
67,1.830773789435625,1.7794084138870239,1.8484551422297955,0.3943125,0.35864258,77,True,0.0001,64,512,128,0.1,0.0001,0.3
12,1.8489677114486693,1.7200206952095032,1.875679430961609,0.39906245,0.34225,22,True,0.01,128,32,16,0.1,0.0001,0.3
10,1.8575922985076905,1.74249192237854,1.8886450815200806,0.39643747,0.33524996,20,True,0.001,128,32,16,0.1,0.0001,0.3
15,1.864318545818329,1.790184942126274,1.8763269267082214,0.38099998,0.33924997,25,True,0.0001,128,32,16,0.1,0.0001,0.3
7,1.830881152153015,1.7017170944213866,1.8632736225128175,0.41012496,0.34724998,17,True,0.01,128,32,32,0.1,0.0001,0.3
10,1.839501340866089,1.7179761459827423,1.8604749240875245,0.413,0.34499997,20,True,0.001,128,32,32,0.1,0.0001,0.3
23,1.843388656616211,1.7810498220920563,1.8516554412841797,0.38937497,0.35599995,33,True,0.0001,128,32,32,0.1,0.0001,0.3
10,1.8197552930741083,1.6845274119377136,1.840406510565016,0.426875,0.3539186,20,True,0.01,128,32,64,0.1,0.0001,0.3
8,1.8256013242025224,1.7289365038871765,1.8483985416472903,0.41312498,0.35987097,18,True,0.001,128,32,64,0.1,0.0001,0.3
55,1.827361540188865,1.756903440952301,1.8314648469289143,0.40781248,0.37301582,65,True,0.0001,128,32,64,0.1,0.0001,0.3
14,1.8060342781245708,1.664746244430542,1.841343805193901,0.43462497,0.36694336,24,True,0.01,128,32,128,0.1,0.0001,0.3
25,1.8111041076481342,1.6961804141998291,1.8364988267421722,0.42918748,0.37451172,35,True,0.001,128,32,128,0.1,0.0001,0.3
38,1.860608071088791,1.8246321992874146,1.865873672068119,0.37387496,0.3474121,48,True,0.0001,128,32,128,0.1,0.0001,0.3
6,1.846142119884491,1.7413872101306915,1.8824797792434693,0.3926875,0.34124994,16,True,0.01,128,64,16,0.1,0.0001,0.3
12,1.8556267232894899,1.7421108045578002,1.891683217525482,0.40006244,0.33574998,22,True,0.001,128,64,16,0.1,0.0001,0.3
19,1.867666802406311,1.7705885367393495,1.8712819771766662,0.39087498,0.34924996,29,True,0.0001,128,64,16,0.1,0.0001,0.3
12,1.8304300203323365,1.6858366904258728,1.875178822517395,0.4195,0.34524995,22,True,0.01,128,64,32,0.1,0.0001,0.3
8,1.8440491704940796,1.7316146404743196,1.8751386051177978,0.407125,0.34349996,18,True,0.001,128,64,32,0.1,0.0001,0.3
20,1.8551915578842164,1.7803998670578003,1.8552883338928223,0.38974994,0.35724998,30,True,0.0001,128,64,32,0.1,0.0001,0.3
5,1.8230112109865462,1.7033321700096131,1.8231910202238295,0.4208125,0.36656743,15,True,0.01,128,64,64,0.1,0.0001,0.3
12,1.8238947997017512,1.7182345409393311,1.8428204835407318,0.4191875,0.36904758,22,True,0.001,128,64,64,0.1,0.0001,0.3
42,1.8356876676044767,1.7760659685134887,1.837510687964303,0.38906246,0.37028766,52,True,0.0001,128,64,64,0.1,0.0001,0.3
6,1.80740200355649,1.7015778856277466,1.8278071247041225,0.42181247,0.36621094,16,True,0.01,128,64,128,0.1,0.0001,0.3
26,1.8167802020907402,1.6935162658691407,1.8440745025873184,0.43212497,0.36254883,36,True,0.001,128,64,128,0.1,0.0001,0.3
59,1.8328446336090565,1.7901629676818849,1.8400924801826477,0.39131248,0.36889648,69,True,0.0001,128,64,128,0.1,0.0001,0.3
6,1.8505003790855408,1.752616442322731,1.8738468503952026,0.38756245,0.34724998,16,True,0.01,128,128,16,0.1,0.0001,0.3
11,1.8552804164886474,1.7379734984636306,1.8696971130371094,0.39881247,0.34749997,21,True,0.001,128,128,16,0.1,0.0001,0.3
26,1.8527023830413818,1.7682909562587739,1.8737654604911804,0.38968748,0.33975,36,True,0.0001,128,128,16,0.1,0.0001,0.3
8,1.8325469722747803,1.6980575726032257,1.8490135669708252,0.414625,0.35524994,18,True,0.01,128,128,32,0.1,0.0001,0.3
12,1.8360654458999635,1.718579819202423,1.8552446660995483,0.41375,0.35749996,22,True,0.001,128,128,32,0.1,0.0001,0.3
33,1.8405815706253053,1.7598594756126404,1.8580205001831054,0.40131247,0.35399997,43,True,0.0001,128,128,32,0.1,0.0001,0.3
13,1.812402263520256,1.6691074256896972,1.8494536573924716,0.43093747,0.35813487,23,True,0.01,128,128,64,0.1,0.0001,0.3
17,1.821588917384072,1.6992992238998412,1.8371351295047336,0.42537498,0.35739082,27,True,0.001,128,128,64,0.1,0.0001,0.3
36,1.8375976199195498,1.788439579963684,1.8574223840047444,0.39087498,0.3571428,46,True,0.0001,128,128,64,0.1,0.0001,0.3
6,1.8123399205505848,1.6981965579986573,1.8465862609446049,0.424375,0.35986328,16,True,0.01,128,128,128,0.1,0.0001,0.3
17,1.815457921475172,1.7213176679611206,1.8278726749122143,0.41824996,0.37231445,27,True,0.001,128,128,128,0.1,0.0001,0.3
45,1.8370791748166084,1.8101518297195434,1.8421359322965145,0.38156247,0.36547852,55,True,0.0001,128,128,128,0.1,0.0001,0.3
5,1.8455194540023803,1.7463072217702866,1.8691568398475646,0.390625,0.33949995,15,True,0.01,128,256,16,0.1,0.0001,0.3
5,1.8580870513916015,1.772567036986351,1.8627392611503601,0.38274997,0.34699994,15,True,0.001,128,256,16,0.1,0.0001,0.3
22,1.8557941617965699,1.770617780327797,1.870650845527649,0.38612497,0.34899998,32,True,0.0001,128,256,16,0.1,0.0001,0.3
10,1.8230647192001344,1.6930811095237732,1.8854640254974364,0.41618747,0.34649998,20,True,0.01,128,256,32,0.1,0.0001,0.3
12,1.8402312259674072,1.7175962371826172,1.857694317817688,0.41024995,0.36099994,22,True,0.001,128,256,32,0.1,0.0001,0.3
17,1.8539468002319337,1.7965114014148713,1.8576446142196654,0.38537496,0.36124998,27,True,0.0001,128,256,32,0.1,0.0001,0.3
9,1.8071694203785487,1.681900664806366,1.8573235443660192,0.4285,0.3536706,19,True,0.01,128,256,64,0.1,0.0001,0.3
9,1.8213296825923617,1.7242719035148621,1.8284808302682543,0.41718745,0.3745039,19,True,0.001,128,256,64,0.1,0.0001,0.3
58,1.8228323289326258,1.753524374961853,1.8281906540431674,0.40306246,0.36359125,68,True,0.0001,128,256,64,0.1,0.0001,0.3
6,1.812620211392641,1.6930701122283935,1.820976935327053,0.42793745,0.3725586,16,True,0.01,128,256,128,0.1,0.0001,0.3
20,1.822116769850254,1.7106126976013183,1.8267940506339073,0.4248125,0.36987305,30,True,0.001,128,256,128,0.1,0.0001,0.3
62,1.8350961208343506,1.7871691818237305,1.8394052125513554,0.3911875,0.3647461,72,True,0.0001,128,256,128,0.1,0.0001,0.3
4,1.8450441298484803,1.7438763283491134,1.8650032081604004,0.39593744,0.34674996,14,True,0.01,128,512,16,0.1,0.0001,0.3
7,1.851787075996399,1.7555468360185622,1.8729053173065187,0.39412498,0.34475,17,True,0.001,128,512,16,0.1,0.0001,0.3
19,1.8646883826255798,1.7755865321159363,1.8757118864059448,0.38231248,0.3365,29,True,0.0001,128,512,16,0.1,0.0001,0.3
11,1.8336195163726807,1.685382555961609,1.862478536605835,0.41956246,0.34999996,21,True,0.01,128,512,32,0.1,0.0001,0.3
11,1.8460234661102295,1.7226525692939758,1.8593035259246826,0.41193748,0.34625,21,True,0.001,128,512,32,0.1,0.0001,0.3
34,1.8414419412612915,1.7515450475215912,1.8592805671691894,0.40393746,0.35249996,44,True,0.0001,128,512,32,0.1,0.0001,0.3
9,1.8099457574269129,1.6865445523262024,1.8436157930464971,0.42462498,0.3675595,19,True,0.01,128,512,64,0.1,0.0001,0.3
10,1.8268691320267936,1.7326947393417358,1.8404723670747545,0.41087496,0.35788685,20,True,0.001,128,512,64,0.1,0.0001,0.3
43,1.8320459468024117,1.7685124549865723,1.8384172178450084,0.39549994,0.36731148,53,True,0.0001,128,512,64,0.1,0.0001,0.3
7,1.8077136166393757,1.6877178602218628,1.84445121884346,0.43025,0.35864258,17,True,0.01,128,512,128,0.1,0.0001,0.3
21,1.816660724580288,1.7086767473220825,1.826753232628107,0.42218745,0.37426758,31,True,0.001,128,512,128,0.1,0.0001,0.3
42,1.8375516533851624,1.8142237854003906,1.8426927104592323,0.38099998,0.36010742,52,True,0.0001,128,512,128,0.1,0.0001,0.3
6,1.8538128685951234,1.7446169571876526,1.8785327696800231,0.3879375,0.33774996,16,True,0.01,256,32,16,0.1,0.0001,0.3
4,1.8582099957466125,1.7698786717653274,1.8724126234054566,0.38831246,0.34875,14,True,0.001,256,32,16,0.1,0.0001,0.3
14,1.8694244875907897,1.8037876279354095,1.871803617954254,0.37449998,0.34875,24,True,0.0001,256,32,16,0.1,0.0001,0.3
5,1.8281743326187134,1.7202535133361816,1.8593625297546388,0.41125,0.35149997,15,True,0.01,256,32,32,0.1,0.0001,0.3
9,1.8374440898895263,1.7312185227870942,1.856628921508789,0.41024995,0.35375,19,True,0.001,256,32,32,0.1,0.0001,0.3
