best_epoch,best_test_loss,final_train_loss,final_test_loss,final_accuracy_train,final_accuracy_test,num_epochs,out_channels1,out_channels2,out_channels3,out_channels4,h1,h2,h3,eta,batch_size,dropout_rate,weight_decay,stride,padding,kernel_size,pool_kernel_size,pool_stride
6,0.9215834159404039,0.14560390847921373,1.105394396930933,0.9565625,0.7026367,11,128,128,256,128,256,256,128,0.0001,128,0,0,1,1,3,3,2
5,0.8949126917868853,0.17779961621761323,1.1896243710070848,0.945125,0.6821289,10,128,128,256,128,256,256,256,0.0001,128,0,0,1,1,3,3,2
5,0.8652552869170904,0.17672394502162933,1.0751614253968,0.944625,0.70532227,10,128,128,256,128,256,256,512,0.0001,128,0,0,1,1,3,3,2
6,0.9189145304262638,0.12833372738957405,1.1393604408949614,0.9593125,0.7023926,11,128,128,256,128,256,256,1024,0.0001,128,0,0,1,1,3,3,2
5,0.893116557970643,0.15522825562953949,1.0505750924348831,0.9563125,0.7077637,10,128,128,256,128,256,512,128,0.0001,128,0,0,1,1,3,3,2
6,0.9177724588662386,0.1273724558353424,1.1390709206461906,0.96175,0.70166016,11,128,128,256,128,256,512,256,0.0001,128,0,0,1,1,3,3,2
5,0.9403501953929663,0.15531768548488617,1.130330117419362,0.9506875,0.6972656,10,128,128,256,128,256,512,512,0.0001,128,0,0,1,1,3,3,2
6,0.9381480999290943,0.11509413896501064,1.2176030464470387,0.9620625,0.701416,11,128,128,256,128,256,512,1024,0.0001,128,0,0,1,1,3,3,2
7,0.9293521661311388,0.08516327741742134,1.149250589311123,0.976,0.7097168,12,128,128,256,128,256,1024,128,0.0001,128,0,0,1,1,3,3,2
6,0.9453882426023483,0.11026772817969323,1.2151345741003752,0.96675,0.6965332,11,128,128,256,128,256,1024,256,0.0001,128,0,0,1,1,3,3,2
5,0.9296038523316383,0.13890625596046446,1.1816383488476276,0.95643747,0.6899414,10,128,128,256,128,256,1024,512,0.0001,128,0,0,1,1,3,3,2
6,0.9423592276871204,0.10368801921606063,1.2959710750728846,0.9675625,0.6904297,11,128,128,256,128,256,1024,1024,0.0001,128,0,0,1,1,3,3,2
5,0.8814240638166666,0.18482883417606355,1.043389918282628,0.9430625,0.6989746,10,128,128,256,128,512,128,128,0.0001,128,0,0,1,1,3,3,2
7,0.9188984408974648,0.07753571319580078,1.1174810528755188,0.980125,0.7077637,12,128,128,256,128,512,128,256,0.0001,128,0,0,1,1,3,3,2
6,0.9016051832586527,0.11633646282553672,1.1566213462501764,0.96675,0.6936035,11,128,128,256,128,512,128,512,0.0001,128,0,0,1,1,3,3,2
5,0.8967716619372368,0.16920644038915633,1.0942038018256426,0.9448125,0.6989746,10,128,128,256,128,512,128,1024,0.0001,128,0,0,1,1,3,3,2
6,0.8886774461716413,0.11916877794265747,1.074568897485733,0.966625,0.71313477,11,128,128,256,128,512,256,128,0.0001,128,0,0,1,1,3,3,2
6,0.9038979578763247,0.09483102232217788,1.1558280754834414,0.9753125,0.7055664,11,128,128,256,128,512,256,256,0.0001,128,0,0,1,1,3,3,2
5,0.9132008496671915,0.17466604602336883,1.091153733432293,0.9430625,0.6972656,10,128,128,256,128,512,256,512,0.0001,128,0,0,1,1,3,3,2
5,0.93457873724401,0.18808118242025376,1.1148183681070805,0.9354375,0.69677734,10,128,128,256,128,512,256,1024,0.0001,128,0,0,1,1,3,3,2
5,0.9257349856197834,0.1471814546585083,1.0899327732622623,0.9556875,0.7001953,10,128,128,256,128,512,512,128,0.0001,128,0,0,1,1,3,3,2
5,0.9329125359654427,0.16954403913021088,1.13831533677876,0.9470625,0.6923828,10,128,128,256,128,512,512,256,0.0001,128,0,0,1,1,3,3,2
6,0.9226248096674681,0.14021837240457535,1.1792407259345055,0.953625,0.70458984,11,128,128,256,128,512,512,512,0.0001,128,0,0,1,1,3,3,2
5,0.9336532298475504,0.16785696882009507,1.1323923375457525,0.944625,0.7062988,10,128,128,256,128,512,512,1024,0.0001,128,0,0,1,1,3,3,2
5,0.8613879531621933,0.16830136823654174,1.0507982186973095,0.9451875,0.71313477,10,128,128,256,128,512,1024,128,0.0001,128,0,0,1,1,3,3,2
