best_epoch,best_test_loss,final_train_loss,final_test_loss,final_accuracy_train,final_accuracy_test,num_epochs,out_channels1,out_channels2,out_channels3,out_channels4,h1,h2,h3,eta,batch_size,dropout_rate,weight_decay,stride,padding,kernel_size,pool_kernel_size,pool_stride
9,0.8347267409165701,0.17848689638078213,1.1072676266942705,0.8215131036192178,-0.10726762669427048,14,128,128,128,128,128,512,256,0.001,64,0,0,1,1,3,3,2
6,0.8881277366290017,0.1890627682954073,1.0525140241971092,0.8109372317045926,-0.052514024197109155,11,128,128,128,128,128,512,256,0.0001,64,0,0,1,1,3,3,2
5,0.8317906279116869,0.31337258183956146,0.8715502023696899,0.6866274181604386,0.12844979763031006,10,128,128,128,128,128,512,256,0.001,128,0,0,1,1,3,3,2
6,0.9201884306967258,0.21813587319850922,1.0569181069731712,0.7818641268014908,-0.056918106973171234,11,128,128,128,128,128,512,256,0.0001,128,0,0,1,1,3,3,2
6,0.8272155665215992,0.3060777648836374,0.8696759882427397,0.6939222351163625,0.13032401175726027,11,128,128,128,128,128,512,512,0.001,64,0,0,1,1,3,3,2
4,0.9243009374255226,0.29997547119855883,1.0334502837014576,0.7000245288014412,-0.03345028370145764,9,128,128,128,128,128,512,512,0.0001,64,0,0,1,1,3,3,2
5,0.8167725689709187,0.30579168832302095,0.8185679912567139,0.694208311676979,0.18143200874328613,10,128,128,128,128,128,512,512,0.001,128,0,0,1,1,3,3,2
5,0.9582501463592052,0.2686586121320724,1.0737316645681858,0.7313413878679276,-0.0737316645681858,10,128,128,128,128,128,512,512,0.0001,128,0,0,1,1,3,3,2
7,0.8261601413999285,0.24844181460142137,0.9783055025433737,0.7515581853985787,0.021694497456626327,12,128,128,128,128,128,512,1024,0.001,64,0,0,1,1,3,3,2
6,0.9160542232649667,0.20190977358818055,1.10003966376895,0.7980902264118195,-0.10003966376895002,11,128,128,128,128,128,512,1024,0.0001,64,0,0,1,1,3,3,2
6,0.8292357716709375,0.27829314637184144,0.8853357937186956,0.7217068536281586,0.11466420628130436,11,128,128,128,128,128,512,1024,0.001,128,0,0,1,1,3,3,2
6,0.9275968242436647,0.19828848093748092,1.14946324005723,0.801711519062519,-0.14946324005723,11,128,128,128,128,128,512,1024,0.0001,128,0,0,1,1,3,3,2
8,0.8084152785558549,0.19957468748092652,0.9656408533217415,0.8004253125190735,0.034359146678258456,13,128,128,128,128,128,1024,128,0.001,64,0,0,1,1,3,3,2
5,0.9067501463587322,0.2408175376057625,1.022758477737033,0.7591824623942375,-0.0227584777370331,10,128,128,128,128,128,1024,128,0.0001,64,0,0,1,1,3,3,2
6,0.7971627041697502,0.2476804528236389,0.926700834184885,0.7523195471763611,0.07329916581511497,11,128,128,128,128,128,1024,128,0.001,128,0,0,1,1,3,3,2
6,0.9649961460381746,0.20983645087480546,1.1373531688004732,0.7901635491251946,-0.1373531688004732,11,128,128,128,128,128,1024,128,0.0001,128,0,0,1,1,3,3,2
5,0.8259042170312669,0.3429768370985985,0.9033905499511294,0.6570231629014015,0.09660945004887056,10,128,128,128,128,128,1024,256,0.001,64,0,0,1,1,3,3,2
7,0.9110982664047725,0.17015205822885038,1.1350280434366256,0.8298479417711496,-0.13502804343662556,12,128,128,128,128,128,1024,256,0.0001,64,0,0,1,1,3,3,2
9,0.8101465478539467,0.1773982041478157,0.9943036139011383,0.8226017958521843,0.005696386098861694,14,128,128,128,128,128,1024,256,0.001,128,0,0,1,1,3,3,2
5,0.9134808629751205,0.26746928322315217,0.994098961353302,0.7325307167768478,0.005901038646697998,10,128,128,128,128,128,1024,256,0.0001,128,0,0,1,1,3,3,2
7,0.8313557231237018,0.27438387739658354,0.9217907814752488,0.7256161226034165,0.07820921852475116,12,128,128,128,128,128,1024,512,0.001,64,0,0,1,1,3,3,2
6,0.8935916650862921,0.1868706868290901,1.1522458559936948,0.8131293131709099,-0.15224585599369478,11,128,128,128,128,128,1024,512,0.0001,64,0,0,1,1,3,3,2
6,0.8731668591499329,0.2603722952604294,0.9440736938267946,0.7396277047395706,0.055926306173205376,11,128,128,128,128,128,1024,512,0.001,128,0,0,1,1,3,3,2
5,0.954706709831953,0.2603122750520706,1.12753389403224,0.7396877249479294,-0.12753389403223991,10,128,128,128,128,128,1024,512,0.0001,128,0,0,1,1,3,3,2
9,0.8090137427761441,0.19894674517214297,0.9936985222120134,0.801053254827857,0.00630147778798662,14,128,128,128,128,128,1024,1024,0.001,64,0,0,1,1,3,3,2
