best_epoch,best_test_loss,final_train_loss,final_test_loss,final_accuracy_train,final_accuracy_test,num_epochs,early_stopping,out_channels1,out_channels2,out_channels3,h1,h2,batch_size
9,0.882028357377128,0.3113041481673717,1.030392703555879,0.8905625,0.7199901,14,True,128,128,512,512,512,64
8,0.8826058847563607,0.2657793942093849,1.0537279484763975,0.905,0.70907736,13,True,64,256,128,512,128,64
8,0.8830625268201979,0.2903686591982841,1.0081368221176996,0.899125,0.7224702,13,True,128,128,128,256,256,64
7,0.8834358108422112,0.3345380830168724,1.033296964944355,0.881375,0.7237103,12,True,128,64,128,512,256,64
10,0.8836964312940836,0.195425105035305,1.1068080198019743,0.931875,0.71728516,15,True,32,128,128,512,128,128
7,0.8839668687433004,0.3997772827148437,1.0069994516670704,0.856375,0.7050781,12,True,32,64,512,512,256,128
7,0.8839755339622497,0.3029215012490749,1.020855233669281,0.893125,0.72274995,12,True,32,256,128,512,128,32
9,0.8840105105191469,0.3431366987228393,1.0169850140810013,0.88125,0.7026367,14,True,128,256,512,128,256,128
8,0.8840919959545136,0.3616927389279007,0.9785360260009766,0.87325,0.7165,13,True,128,256,256,256,128,32
7,0.8841163478791714,0.3299778697490692,1.0104042831808329,0.8825,0.7097168,12,True,64,256,256,512,512,128
8,0.8843098188203479,0.2792818076312542,1.0645988583564758,0.9,0.7152778,13,True,32,128,256,512,128,64
7,0.8843473683273981,0.3433827614188194,1.0253156527640328,0.874875,0.72271824,12,True,128,128,256,512,512,64
6,0.8844401126816159,0.3328508086502552,0.9689876616947236,0.8814375,0.7180059,11,True,64,256,128,512,256,64
7,0.8849083087444305,0.3836088534146547,0.9897879152297974,0.8650625,0.70799994,12,True,128,128,128,256,128,32
7,0.8849160444168818,0.428195963025093,0.9524038344148604,0.852625,0.7118056,12,True,128,256,512,256,256,64
9,0.8850232741189381,0.301359398856759,1.0043779706198073,0.89524996,0.71205354,14,True,32,128,512,512,512,64
6,0.8850410748273134,0.404031525850296,0.9333851393312216,0.8564375,0.7133789,11,True,128,64,128,256,256,128
8,0.8850691877305508,0.3438432619571686,1.0034253913909197,0.8796875,0.71850586,13,True,128,256,128,128,128,128
7,0.8851875937174237,0.372962542951107,1.0288098880222865,0.86856246,0.72271824,12,True,128,256,128,128,256,64
7,0.8855476587537735,0.3110972937941551,1.010729304381779,0.887875,0.7222222,12,True,32,128,128,512,512,64
7,0.8855498792633177,0.3537115569710731,0.9312830742389436,0.8723125,0.72271824,12,True,128,128,256,512,256,64
10,0.8855758044454787,0.2101510058194398,1.1533976935205006,0.92625,0.7254464,15,True,64,256,128,512,512,64
7,0.8856384954452514,0.3346383899673819,1.022357854127884,0.881875,0.71325,12,True,64,256,128,512,128,32
6,0.8856561295688152,0.3788237872123718,0.9750246312469244,0.864625,0.71875,11,True,64,128,256,512,512,128
8,0.8857213334431724,0.3201942959725857,0.9839716780753364,0.8871875,0.7249504,13,True,128,64,256,512,256,64
9,0.8858548409938812,0.2947101163566112,1.084404195547104,0.89925,0.7025,14,True,32,256,512,512,256,32
8,0.8863798053491683,0.3632087234258652,0.9543402109827314,0.87,0.72643846,13,True,128,128,512,512,256,64
6,0.8863846233912877,0.3677066839337349,0.9825986169633412,0.868625,0.7113095,11,True,64,128,128,256,256,64
7,0.8866045465545048,0.438467013001442,0.9753957986831664,0.8465625,0.6974206,12,True,128,64,512,256,128,64
10,0.8866322971880436,0.2956775444746017,0.9976599998772144,0.89437497,0.72509766,15,True,128,128,128,128,128,128
9,0.8867421876639128,0.3784034211635589,1.0859962832182646,0.869875,0.69628906,14,True,128,64,512,256,256,128
9,0.8867522336187816,0.3038144764602184,1.0011893737883797,0.8930625,0.72271824,14,True,64,128,512,512,128,64
