best_epoch,best_test_loss,final_train_loss,final_test_loss,final_accuracy_train,final_accuracy_test,num_epochs,early_stopping,h1,h2,batch_size,dropout_rate,weight_decay
9,1.6124302153587342,1.2204499000310898,1.6712400274276733,0.568125,0.43824995,14,True,512,128,32,0.2,0.0001
3,1.5961816481181554,1.291787444114685,1.6281739757174538,0.541875,0.4548611,8,True,512,128,64,0.2,0.0001
6,1.5537450015544891,1.0993550233840943,1.6577833220362663,0.616,0.4663086,11,True,512,128,128,0.2,0.0001
6,1.6492491846084594,1.4471354219913484,1.708968507528305,0.48399997,0.42574996,11,True,512,256,16,0.2,0.0001
6,1.6161170482635498,1.2399158338308334,1.6889195566177369,0.5585,0.45124996,11,True,512,256,32,0.2,0.0001
4,1.5860778812378171,1.2048253636360169,1.6006133026546903,0.5759375,0.45907736,9,True,512,256,64,0.2,0.0001
4,1.5565196610987186,1.1453636646270753,1.6367284953594208,0.59449995,0.46142578,9,True,512,256,128,0.2,0.0001
6,1.686110360622406,1.4214155468940735,1.7307933366298676,0.495,0.42049998,11,True,512,512,16,0.2,0.0001
3,1.600495454788208,1.3384722591638565,1.6668376893997192,0.522375,0.44024998,8,True,512,512,32,0.2,0.0001
5,1.5757670118695213,1.127991762161255,1.633281149561443,0.59868747,0.45858133,10,True,512,512,64,0.2,0.0001
5,1.5441697537899017,1.0365848817825318,1.6262995935976505,0.628625,0.4645996,10,True,512,512,128,0.2,0.0001
3,1.527618084102869,0.9662907876968384,1.596091490238905,0.6581875,0.48242188,8,True,512,512,128,0.1,0
7,1.520188819617033,1.0882587924003602,1.5834468118846416,0.61825,0.46264648,12,True,512,512,128,0.1,0.001
4,1.5221657566726208,0.9388575530052186,1.5850157029926777,0.6690625,0.4880371,9,True,512,512,128,0.1,0.0001
6,1.5416126735508442,0.9518175435066223,1.6782459765672684,0.6641875,0.4650879,11,True,512,512,128,0.2,0
9,1.519255869090557,1.1850788254737854,1.5965761318802834,0.5783125,0.45922852,14,True,512,512,128,0.2,0.001
5,1.5346562154591084,1.0430913076400756,1.62882923707366,0.63331246,0.46411133,10,True,512,512,128,0.2,0.0001
4,1.5798614174127579,1.2168430910110473,1.6278924643993378,0.56606245,0.4506836,9,True,512,512,128,0.3,0
12,1.5718489699065685,1.2926384439468384,1.5907332338392735,0.54524994,0.45166016,17,True,512,512,128,0.3,0.001
4,1.583364237099886,1.2440731525421143,1.6091101318597794,0.55925,0.4489746,9,True,512,512,128,0.3,0.0001
10,1.613679002970457,1.18122536611557,1.660532332956791,0.5775,0.45239258,15,True,512,512,128,0.4,0
14,1.5902003720402718,1.3955117321014405,1.6283944621682167,0.4973125,0.4345703,19,True,512,512,128,0.4,0.001
8,1.5885223373770714,1.2689298505783082,1.631324376910925,0.54718745,0.45288086,13,True,512,512,128,0.4,0.0001
10,1.626203242689371,1.3734466848373412,1.6998549550771713,0.5089375,0.4284668,15,True,512,512,128,0.5,0
12,1.654091689735651,1.523414002418518,1.6804630942642689,0.45393747,0.42285156,17,True,512,512,128,0.5,0.001
13,1.6537856496870518,1.3449625225067139,1.7151068300008774,0.52125,0.4194336,18,True,512,512,128,0.5,0.0001
8,1.8158200979232788,1.7334178428649902,1.817074976861477,0.379125,0.35791016,13,True,512,512,128,0.7,0
19,1.8107617758214474,1.7848036966323853,1.8118764907121658,0.35712498,0.34570312,24,True,512,512,128,0.7,0.001
15,1.7978600077331066,1.7114414463043213,1.8228142112493515,0.3895625,0.3630371,20,True,512,512,128,0.7,0.0001
